,id,title,site,performer,duration,have,release_date,img_url,flag,is_vr,is_creampie,is_anal,is_remaster,perf_count,perf_com
73,31265,Rachael Cavalli & Louie Smalls in Thundercock,Thundercock,"Rachael Cavalli, Louie Smalls",46 min,FALSE,"Sep 25, 2019",//images4.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/rachaellouie/scene/horizontal/800x534c.jpg ,"4K, HD, CREAMPIE",FALSE,TRUE,FALSE,FALSE,2,
74,31264,Diamond Foxxx & Mr. Pete in Thundercock,Thundercock,"Diamond Foxxx, Mr. Pete",46 min,FALSE,"Sep 2, 2019",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/diamondmrpete/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
75,31263,Sara Jay & Rob Piper in Thundercock,Thundercock,"Sara Jay, Rob Piper",44 min,FALSE,"Aug 29, 2019",//images1.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/sararob/scene/horizontal/800x534c.jpg ,4K,FALSE,FALSE,FALSE,FALSE,2,
76,31262,Ivy LeBelle & Chad White in Thundercock,Thundercock,"Ivy LeBelle, Chad White",44 min,FALSE,"Aug 16, 2019",//images3.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/ivychad/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
77,31260,Krissy Lynn & Jason Brown in Thundercock,Thundercock,"Krissy Lynn, Jason Brown",38 min,FALSE,"Aug 2, 2019",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/krissyjason/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
78,31256,Dee Williams & Jason Brown in Thundercock,Thundercock,"Dee Williams, Jason Brown",44 min,FALSE,"May 28, 2019",//images3.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/deejason/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
79,31253,Ryan Keely & Jon Jon in Thundercock,Thundercock,"Ryan Keely, Jon Jon",44 min,FALSE,"May 10, 2019",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/ryanjonjon/scene/horizontal/800x534c.jpg ,"4K, HD, CREAMPIE",FALSE,TRUE,FALSE,FALSE,2,
80,31252,Cherie DeVille & Jason Brown in Thundercock,Thundercock,"Cherie DeVille, Jason Brown",39 min,FALSE,"May 1, 2019",//images1.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/cheriejason/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
81,31251,Brandi Love & Chad White in Thundercock,Thundercock,"Brandi Love, Chad White",47 min,FALSE,"Apr 26, 2019",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/brandichad/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
82,31250,Alexis Fawx & Jason Brown in Thundercock,Thundercock,"Alexis Fawx, Jason Brown",46 min,FALSE,"Apr 19, 2019",//images4.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/alexisjason/scene/horizontal/800x534c.jpg ,4K,FALSE,FALSE,FALSE,FALSE,2,
83,31247,Britney Amber & Chad White in Thundercock,Thundercock,"Britney Amber, Chad White",49 min,FALSE,"Mar 18, 2019",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/nathck/britneychad/scene/horizontal/800x534c.jpg ,"4K, HD",FALSE,FALSE,FALSE,FALSE,2,
